"note","lake","sum_alum","date"
"alum_units_L_day","Rotoehu",20520,"2011-07-19"
"alum_units_L_day","Rotoehu",30240,"2011-08-16"
"alum_units_L_day","Rotoehu",38880,"2011-09-21"
"alum_units_L_day","Rotoehu",36720,"2011-10-25"
"alum_units_L_day","Rotoehu",21600,"2011-11-14"
"alum_units_L_day","Rotoehu",39960,"2011-12-21"
"alum_units_L_day","Rotoehu",29160,"2012-01-17"
"alum_units_L_day","Rotoehu",38880,"2012-02-22"
"alum_units_L_day","Rotoehu",37800,"2012-03-28"
"alum_units_L_day","Rotoehu",21600,"2012-04-17"
"alum_units_L_day","Rotoehu",30240,"2012-05-15"
"alum_units_L_day","Rotoehu",44280,"2012-06-25"
"alum_units_L_day","Rotoehu",24840,"2012-07-18"
"alum_units_L_day","Rotoehu",29160,"2012-08-14"
"alum_units_L_day","Rotoehu",37800,"2012-09-18"
"alum_units_L_day","Rotoehu",8640,"2012-10-17"
"alum_units_L_day","Rotoehu",6480,"2012-11-13"
"alum_units_L_day","Rotoehu",5520,"2012-12-06"
"alum_units_L_day","Rotoehu",9600,"2013-01-15"
"alum_units_L_day","Rotoehu",8400,"2013-02-19"
"alum_units_L_day","Rotoehu",12000,"2013-03-19"
"alum_units_L_day","Rotoehu",16320,"2013-04-22"
"alum_units_L_day","Rotoehu",10560,"2013-05-14"
"alum_units_L_day","Rotoehu",16320,"2013-06-17"
"alum_units_L_day","Rotoehu",13440,"2013-07-15"
"alum_units_L_day","Rotoehu",16800,"2013-08-19"
"alum_units_L_day","Rotoehu",14400,"2013-09-18"
"alum_units_L_day","Rotoehu",13440,"2013-10-16"
"alum_units_L_day","Rotoehu",16320,"2013-11-19"
"alum_units_L_day","Rotoehu",10560,"2013-12-11"
"alum_units_L_day","Rotoehu",16320,"2014-01-14"
"alum_units_L_day","Rotoehu",16800,"2014-02-18"
"alum_units_L_day","Rotoehu",18840,"2014-03-18"
"alum_units_L_day","Rotoehu",23640,"2014-04-15"
"alum_units_L_day","Rotoehu",33600,"2014-05-20"
"alum_units_L_day","Rotoehu",26880,"2014-06-17"
"alum_units_L_day","Rotoehu",33600,"2014-07-22"
"alum_units_L_day","Rotoehu",26880,"2014-08-19"
"alum_units_L_day","Rotoehu",26880,"2014-09-16"
"alum_units_L_day","Rotoehu",35640,"2014-10-20"
"alum_units_L_day","Rotoehu",31320,"2014-11-18"
"alum_units_L_day","Rotoehu",30240,"2014-12-16"
"alum_units_L_day","Rotoehu",37800,"2015-01-20"
"alum_units_L_day","Rotoehu",30240,"2015-02-17"
"alum_units_L_day","Rotoehu",31320,"2015-03-18"
"alum_units_L_day","Rotoehu",29160,"2015-04-14"
"alum_units_L_day","Rotoehu",37800,"2015-05-19"
"alum_units_L_day","Rotoehu",30240,"2015-06-16"
"alum_units_L_day","Rotoehu",37800,"2015-07-21"
"alum_units_L_day","Rotoehu",30240,"2015-08-18"
"alum_units_L_day","Rotoehu",34560,"2015-09-19"
"alum_units_L_day","Rotoehu",33480,"2015-10-20"
"alum_units_L_day","Rotoehu",30240,"2015-11-17"
"alum_units_L_day","Rotoehu",30240,"2015-12-15"
"alum_units_L_day","Rotoehu",38880,"2016-01-20"
"alum_units_L_day","Rotoehu",29160,"2016-02-16"
"alum_units_L_day","Rotoehu",30240,"2016-03-15"
"alum_units_L_day","Rotoehu",36720,"2016-04-18"
"alum_units_L_day","Rotoehu",31320,"2016-05-17"
"alum_units_L_day","Rotoehu",30240,"2016-06-14"
"alum_units_L_day","Rotoehu",37800,"2016-07-19"
"alum_units_L_day","Rotoehu",30240,"2016-08-16"
"alum_units_L_day","Rotoehu",36720,"2016-09-19"
"alum_units_L_day","Rotoehu",31320,"2016-10-18"
"alum_units_L_day","Rotoehu",30240,"2016-11-15"
"alum_units_L_day","Rotoehu",29160,"2016-12-12"
"alum_units_L_day","Rotoehu",38880,"2017-01-17"
"alum_units_L_day","Rotoehu",30240,"2017-02-14"
"alum_units_L_day","Rotoehu",30240,"2017-03-14"
"alum_units_L_day","Rotoehu",37800,"2017-04-18"
"alum_units_L_day","Rotoehu",30240,"2017-05-16"
"alum_units_L_day","Rotoehu",37800,"2017-06-20"
"alum_units_L_day","Rotoehu",30240,"2017-07-18"
"alum_units_L_day","Rotoehu",30240,"2017-08-15"
"alum_units_L_day","Rotoehu",37800,"2017-09-19"
"alum_units_L_day","Rotoehu",30240,"2017-10-17"
"alum_units_L_day","Rotoehu",28560,"2017-11-13"
"alum_units_L_day","Rotoehu",13920,"2017-12-12"
"alum_units_L_day","Rotoehu",16800,"2018-01-16"
"alum_units_L_day","Rotoehu",17280,"2018-02-21"
"alum_units_L_day","Rotoehu",12960,"2018-03-20"
"alum_units_L_day","Rotoehu",13440,"2018-04-17"
"alum_units_L_day","Rotoehu",13440,"2018-05-15"
"alum_units_L_day","Rotoehu",16800,"2018-06-19"
"alum_units_L_day","Rotoehu",13440,"2018-07-17"
"alum_units_L_day","Rotoehu",0,"2018-08-21"
"alum_units_L_day","Rotoehu",0,"2018-09-18"
"alum_units_L_day","Rotoehu",0,"2018-10-18"
"alum_units_L_day","Rotoehu",0,"2018-11-20"
"alum_units_L_day","Rotoehu",0,"2018-12-13"
"alum_units_L_day","Rotoehu",0,"2019-01-15"
"alum_units_L_day","Rotoehu",0,"2019-02-19"
"alum_units_L_day","Rotoehu",0,"2019-03-21"
"alum_units_L_day","Rotoehu",0,"2019-04-15"
"alum_units_L_day","Rotoehu",0,"2019-05-14"
"alum_units_L_day","Rotoehu",0,"2019-06-18"
"alum_units_L_day","Rotoehu",0,"2019-07-16"
"alum_units_L_day","Rotoehu",0,"2019-09-18"
"alum_units_L_day","Rotoehu",0,"2019-11-19"
"alum_units_L_day","Rotoehu",0,"2019-12-10"
"alum_units_L_day","Rotoehu",0,"2020-01-21"
"alum_units_L_day","Rotoehu",0,"2020-02-18"
"alum_units_L_day","Rotoehu",0,"2020-03-20"
"alum_units_L_day","Rotoehu",0,"2020-04-20"
"alum_units_L_day","Rotoehu",0,"2020-05-20"
"alum_units_L_day","Rotoehu",0,"2020-06-16"
"alum_units_L_day","Rotoehu",0,"2020-07-22"
"alum_units_L_day","Rotoehu",0,"2020-08-19"
"alum_units_L_day","Rotoehu",0,"2020-09-17"
"alum_units_L_day","Rotoehu",0,"2020-10-13"
"alum_units_L_day","Rotoehu",0,"2020-11-17"
"alum_units_L_day","Rotoehu",1440,"2020-12-15"
"alum_units_L_day","Rotoehu",240,"2020-12-16"
"alum_units_L_day","Rotoehu",8160,"2021-01-19"
"alum_units_L_day","Rotoehu",6960,"2021-02-17"
"alum_units_L_day","Rotoehu",6480,"2021-03-16"
"alum_units_L_day","Rotoehu",8880,"2021-04-22"
"alum_units_L_day","Rotoehu",6240,"2021-05-18"
"alum_units_L_day","Rotoehu",6720,"2021-06-15"
"alum_units_tonnes","Okaro",6e-06,"2003-12-18"
"alum_units_tonnes","Okaro",112,"2008-01-24"
"alum_units_tonnes","Okaro",396,"2009-09-25"
"alum_units_tonnes","Okaro",5,"2012-01-19"
"alum_units_tonnes","Okaro",8,"2012-07-20"
"alum_units_tonnes","Okaro",14.6,"2012-09-20"
"alum_units_tonnes","Okaro",5.2,"2013-08-23"
"alum_units_tonnes","Okaro",5.2,"2013-09-19"
"alum_units_tonnes","Okaro",4.6,"2014-06-19"
"alum_units_tonnes","Okaro",5.2,"2015-09-17"
"alum_units_tonnes","Okaro",9.8,"2016-04-21"
"alum_units_tonnes","Okaro",5.2,"2016-09-22"
"alum_units_tonnes","Okaro",5.2,"2017-09-21"
"alum_units_tonnes","Okaro",15,"2019-04-17"
"alum_units_tonnes","Okaro",7.8,"2019-09-20"
"alum_units_tonnes","Okaro",7.8,"2020-09-18"
"alum_units_tonnes","Okaro",6.5,"2021-05-20"
