"lake","site","date","bottom_DRP_ugL","bottom_NH4_ugL","bottom_NO3_ugL","bottom_TN_ugL","bottom_TP_ugL","top_DRP_ugL","top_NH4_ugL","top_NO3_ugL","top_TN_ugL","top_TP_ugL","chla_ugL_INT","secchi_m","DN_DP","DN_TN","DP_TP","TN_TP"
"Rotoehu",3,2021-07-20,2.7,14.4,15.3,310,19.2,3.2,10.1,13.85,317.3,21.2,9.2,3,7.484375,0.0754806177119445,0.150943396226415,14.9669811320755
"Rotoehu",3,2021-08-17,1.9,7.7,24.3,314.2,23.7,1.8,8.7,23.8,317.1,23.5,7.6,3.1,18.0555555555556,0.102491327656891,0.0765957446808511,13.4936170212766
"Rotoehu",3,2021-09-14,3.1,20.7,22.6,322.7,22.4,3.4,19,22.6,357.9,24.5,10.5,2.85,12.2352941176471,0.116233584800224,0.138775510204082,14.6081632653061
"Rotoehu",3,2021-10-19,2.8,5.4,0.8,274.6,23.1,3.7,5.4,1.6,385.8,26.5,10,3,1.89189189189189,0.0181441161223432,0.139622641509434,14.5584905660377
"Rotoehu",3,2021-11-16,12.1,193.1,8.3,436.7,32.2,3.6,16,3.3,304.9,19.3,5.3,3.6,5.36111111111111,0.0632994424401443,0.186528497409326,15.7979274611399
"Rotoehu",3,2021-12-14,28.9,206.9,6.2,477.9,58.2,2.5,9,1.8,247.4,19.6,4.5,4.1,4.32,0.0436540016168149,0.127551020408163,12.6224489795918
"Rotoehu",3,2022-01-18,22.9,45.5,3.2,360.7,50.4,14,3,1.5,301.5,41.5,9.3,2.05,0.321428571428571,0.0149253731343284,0.337349397590361,7.26506024096386
"Rotoehu",3,2022-02-15,42.2,122.6,5.8,406.7,65.1,43.2,95.2,5.8,472.2,72.1,7.8,2.3,2.33796296296296,0.213892418466751,0.599167822468793,6.54923717059639
"Rotoehu",3,2022-03-15,24.7,1.8,1.9,358,54.3,24.8,1,1.2,437.4,58.7,12.6,1.9,0.0887096774193548,0.0050297210791038,0.422487223168654,7.45144804088586
"Rotoehu",3,2022-04-19,18.9,10.2,1.4,315.6,42.2,18.5,6.4,2,353.6,45.5,13.7,2.45,0.454054054054054,0.0237556561085973,0.406593406593407,7.77142857142857
"Rotoehu",3,2022-05-17,15.2,33.6,6.2,270.6,32.9,13.8,14,6.1,358.2,39.8,12,2.5,1.45652173913044,0.0561139028475712,0.346733668341708,9
"Rotoehu",3,2022-06-20,16.3,73.2,55,415.1,35.6,15.8,73,55.6,438.5,37.4,8.1,3.55,8.13924050632911,0.29327251995439,0.422459893048128,11.7245989304813
"Rotoehu",3,2022-07-19,8.2,20.4,65.5,301.5,22,8.6,19.6,61.85,347.9,27.4,10.6,4.5,9.47093023255814,0.234118999712561,0.313868613138686,12.6970802919708
"Rotoehu",3,2022-08-15,2.8,2.8,51.8,297.4,20.7,3.3,4.2,42.2,315.2,22,14.1,5,14.0606060606061,0.147208121827411,0.15,14.3272727272727
"Rotoehu",3,2022-09-20,2.8,5.3,2.5,257.3,20.7,3,7.4,2.1,299.7,29.1,8.3,3.2,3.16666666666667,0.0316983650316984,0.103092783505155,10.2989690721649
"Rotoehu",3,2022-10-18,5.3,2.4,2.2,351.3,23,6.7,2.6,0.6,326.6,18.6,11.7,2.25,0.477611940298507,0.00979791794243723,0.360215053763441,17.5591397849462
"Rotoehu",3,2022-11-15,9.4,59.7,10.8,270.2,13.3,8.2,5.7,3.6,364.3,20.2,13.5,2.2,1.13414634146341,0.0255284106505627,0.405940594059406,18.0346534653465
"Rotoehu",3,2022-12-13,4.6,81.8,7.8,324.8,21.7,2.9,17.7,5.8,294,20.8,11.3,3.1,8.10344827586207,0.0799319727891157,0.139423076923077,14.1346153846154
"Rotoehu",3,2023-01-17,23.2,146.9,9.9,386.3,45.6,4.8,5.1,1,335.7,36.6,16.1,2.4,1.27083333333333,0.0181709859994042,0.131147540983607,9.17213114754098
"Rotoehu",3,2023-02-22,3.6,2.8,2.2,192.9,16.7,2.7,0,3.1,207.9,17.6,2.5,4.4,1.14814814814815,0.0149110149110149,0.153409090909091,11.8125
"Rotoehu",3,2023-03-14,2.7,42.8,5.7,264.5,19.3,3,13.8,3.8,315.7,25.5,14.7,3.35,5.86666666666667,0.0557491289198606,0.117647058823529,12.3803921568627
"Rotoehu",3,2023-04-18,2.8,2.8,4.3,258.3,19.3,2.8,2.9,4.6,272.9,20.1,16.8,4.05,2.67857142857143,0.0274825943569073,0.139303482587065,13.5771144278607
"Rotoehu",3,2023-05-16,2,5.8,25,289,18.9,3,5.6,20.7,329.9,22.2,23.6,3.25,8.76666666666667,0.0797211276144286,0.135135135135135,14.8603603603604
"Rotoehu",3,2023-06-20,2,6.1,21.6,254.2,17.8,3.2,4.9,21.6,326,21,22.2,3.75,8.28125,0.0812883435582822,0.152380952380952,15.5238095238095
"Rotoehu",3,2023-07-18,1.2,2.4,43.8,280.4,17,2.2,1.7,38.1,322.2,20.1,24.7,4.35,18.0909090909091,0.123525760397269,0.109452736318408,16.0298507462687
"Rotoehu",3,2023-08-17,3.1,4.6,43.1,312.4,20.8,3.1,3.1,42.8,307.3,20.4,11.7,4.35,14.8064516129032,0.149365440937195,0.151960784313725,15.0637254901961
"Rotoehu",3,2023-09-21,1.6,5.8,6.5,235.9,20.9,2.7,6.4,3.1,285,24.7,15,3.85,3.51851851851852,0.0333333333333333,0.109311740890688,11.5384615384615
"Rotoehu",3,2023-10-19,2.8,8.1,2.6,242.4,25,2.5,8.7,0,330.5,32.7,23.3,3.15,3.48,0.0263237518910741,0.0764525993883792,10.1070336391437
"Rotoehu",3,2023-11-23,2.1,8.8,0.7,385.9,35.6,3.7,7.5,0,377.2,32.6,24.5,3.85,2.02702702702703,0.0198833510074231,0.113496932515337,11.5705521472393
"Rotoehu",3,2023-12-21,4.5,8.1,1.4,251.3,31.7,7.4,4.7,6.7,343.2,39.6,19.8,4.3,1.54054054054054,0.0332167832167832,0.186868686868687,8.66666666666667
"Rotoehu",3,2024-01-16,90.9,328.7,4.6,580.1,120.4,5.4,2.9,4.4,271.7,31,10.1,3.1,1.35185185185185,0.0268678689731321,0.174193548387097,8.76451612903226
"Rotoehu",3,2024-02-20,28.7,39.5,3.6,331.2,57.9,15.3,7.6,4.9,359.7,50.1,19.2,2.45,0.816993464052288,0.0347511815401724,0.305389221556886,7.17964071856288
"Rotoehu",3,2024-03-19,12.6,36.9,15.5,363.9,46.1,13.6,41.1,15.8,370.2,45.7,8.6,2.65,4.18382352941176,0.153700702323069,0.297592997811816,8.10065645514223
"Rotoehu",3,2024-04-16,11.5,9.3,4.2,414,52.4,9.5,10.3,4.4,397.8,47.6,20.4,2.55,1.54736842105263,0.0369532428355958,0.199579831932773,8.35714285714286
"Rotoehu",3,2024-05-21,8.6,32.2,18.9,345.2,32.6,8.5,28.7,19.4,397.4,39.5,11,3.4,5.65882352941177,0.121036738802214,0.215189873417722,10.0607594936709
"Rotoehu",3,2024-06-17,3,4.1,3.3,317.8,28,2.9,2.4,3.7,334.9,28,9.1,2.6,2.10344827586207,0.0182143923559271,0.103571428571429,11.9607142857143
"Rotoehu",3,2024-07-16,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,8.8,2.4,NA,NA,NA,NA
